Gene,Cluster
hsa:119504,28
hsa:4920,28
hsa:6469,23
hsa:5216,7
hsa:26119,7
hsa:115,88
hsa:7170,10
hsa:1388,74
hsa:3074,88
hsa:7417,10
gl:G13112,2
hsa:284716,0
hsa:1544,91
hsa:1592,72
hsa:5501,88
hsa:8513,78
hsa:472,43
hsa:462,8
hsa:7855,62
hsa:5476,54
hsa:246,54
hsa:6810,62
cpd:C20171,14
hsa:8503,31
hsa:2002,31
hsa:6517,78
hsa:5062,62
hsa:4312,38
hsa:6309,38
hsa:54566,31
hsa:8942,54
hsa:5741,54
hsa:54947,6
hsa:2998,10
hsa:100271927,27
hsa:112755,27
hsa:23118,89
hsa:122011,1
hsa:100132463,91
hsa:407008,45
hsa:3762,32
hsa:3021,13
hsa:8452,68
hsa:3840,91
hsa:593,58
hsa:481,28
hsa:3682,31
hsa:79731,70
hsa:79087,2
hsa:79718,14
hsa:10423,31
hsa:3440,31
hsa:4722,87
hsa:6915,87
hsa:406900,18
hsa:338382,14
hsa:6097,28
hsa:1854,10
hsa:391,10
hsa:4711,56
hsa:84284,1
hsa:23192,1
hsa:3809,72
hsa:63916,10
hsa:26253,35
hsa:56954,68
hsa:389692,0
path:hsa00040,2
hsa:51495,51
hsa:4128,10
hsa:32,41
hsa:121278,71
hsa:201163,41
hsa:91734,64
hsa:6595,10
hsa:923,2
hsa:96459,41
hsa:9232,54
path:hsa00900,31
hsa:56413,35
hsa:7299,5
hsa:353091,5
hsa:22876,30
hsa:3190,16
cpd:C00305,7
hsa:8717,35
hsa:245711,20
hsa:1136,39
hsa:1019,10
hsa:5833,30
hsa:279,88
hsa:80328,45
hsa:1013,88
hsa:9027,43
hsa:64926,58
hsa:6885,42
hsa:7082,10
hsa:5777,10
hsa:2168,38
hsa:10971,24
hsa:6777,11
hsa:157506,2
hsa:3362,0
hsa:6323,16
hsa:3694,24
hsa:23408,43
hsa:3303,72
hsa:8968,54
hsa:36,54
hsa:407030,11
hsa:3352,68
hsa:1956,2
hsa:8677,43
hsa:160851,18
hsa:4886,65
hsa:356,50
hsa:10552,45
hsa:11040,56
hsa:100861540,41
hsa:4142,42
hsa:8802,5
hsa:9455,28
hsa:3560,49
hsa:90809,7
hsa:2778,88
hsa:4001,88
hsa:7010,45
hsa:5797,1
hsa:288,7
hsa:171558,5
hsa:6317,12
hsa:3684,78
hsa:100271849,23
path:hsa00603,14
hsa:6898,35
hsa:5232,23
hsa:6605,23
hsa:85365,6
hsa:8744,43
hsa:7386,63
path:hsa00250,15
hsa:22999,30
cpd:C05465,2
hsa:196403,0
hsa:1443,3
hsa:658,15
hsa:11311,29
hsa:5567,31
hsa:148,43
hsa:3106,7
hsa:11145,0
hsa:5175,51
hsa:7006,14
hsa:84869,62
hsa:1394,41
hsa:4780,87
hsa:5154,16
hsa:162417,20
hsa:4293,61
hsa:1437,20
hsa:27345,78
hsa:5209,30
hsa:5147,23
hsa:796,28
hsa:6489,13
hsa:6580,39
hsa:574467,61
hsa:84628,88
hsa:3569,74
hsa:2524,24
hsa:1139,23
hsa:4056,34
hsa:10758,48
hsa:6846,31
hsa:5860,38
hsa:596,84
hsa:3805,2
hsa:4586,78
hsa:1645,41
cpd:C00965,78
hsa:64786,6
hsa:5593,41
hsa:406888,35
hsa:5924,43
hsa:3579,14
hsa:50615,17
hsa:9927,17
hsa:51170,38
hsa:5724,87
hsa:10197,36
hsa:9966,7
hsa:6570,31
hsa:4607,80
hsa:29945,2
hsa:3562,29
hsa:414328,7
hsa:7249,39
hsa:56895,74
hsa:6599,31
hsa:2215,23
hsa:84790,88
hsa:643,87
hsa:16,50
hsa:545,50
hsa:6472,29
hsa:1991,44
hsa:113878,30
hsa:51701,35
hsa:55627,54
hsa:1282,45
hsa:654,29
hsa:80168,16
hsa:5529,52
hsa:207,20
hsa:886,39
hsa:604,71
hsa:2169,36
hsa:5720,0
hsa:5896,35
hsa:4329,30
hsa:145226,91
hsa:2887,32
hsa:6335,88
hsa:407047,17
hsa:641371,17
hsa:83547,28
hsa:9826,31
hsa:1311,79
hsa:6513,71
gl:G13105,87
cpd:C03259,7
cpd:C00416,68
hsa:113451,72
cpd:C05981,24
hsa:699,65
path:hsa00100,54
hsa:57118,24
hsa:23339,76
cpd:C00070,31
hsa:2869,48
hsa:5217,41
hsa:114548,42
hsa:26,46
hsa:166824,5
hsa:100526794,30
hsa:598,65
hsa:1845,31
hsa:100529261,16
hsa:81849,38
hsa:1589,82
hsa:4694,20
cpd:C14776,15
hsa:8354,52
hsa:8697,2
hsa:333932,0
hsa:3691,0
hsa:64064,71
hsa:2626,30
hsa:283459,43
hsa:83452,19
hsa:1676,31
hsa:54928,23
hsa:8787,30
cpd:C00410,56
hsa:64600,42
hsa:406910,2
hsa:407031,5
hsa:1081,30
hsa:7879,10
hsa:55102,17
hsa:51780,71
hsa:23786,52
hsa:9020,71
hsa:8289,87
hsa:1457,2
hsa:3822,32
hsa:11200,35
path:hsa00052,72
hsa:1789,2
cpd:C20640,49
hsa:3112,7
hsa:64283,43
hsa:2829,52
hsa:57007,27
hsa:6233,78
hsa:23308,36
cpd:C00238,76
hsa:406954,76
