Gene,Cluster
hsa:6309,87
hsa:54566,10
hsa:8942,87
hsa:5741,13
hsa:54947,86
hsa:2998,9
hsa:100271927,62
hsa:112755,54
hsa:23118,4
hsa:122011,29
hsa:100132463,35
hsa:407008,81
hsa:3762,72
hsa:3021,6
hsa:8452,16
hsa:3840,35
hsa:593,87
hsa:481,45
hsa:3682,10
hsa:79731,77
hsa:79087,70
hsa:79718,42
hsa:10423,23
hsa:3440,23
hsa:4722,89
hsa:6915,89
hsa:406900,24
hsa:338382,42
hsa:6097,33
hsa:1854,26
hsa:391,58
hsa:4711,64
hsa:84284,77
hsa:23192,88
hsa:3809,87
hsa:63916,26
hsa:26253,75
hsa:56954,12
hsa:389692,50
path:hsa00040,70
hsa:51495,56
hsa:4128,9
hsa:32,87
hsa:121278,77
hsa:201163,87
hsa:91734,2
hsa:6595,26
hsa:923,76
hsa:96459,77
hsa:9232,13
path:hsa00900,23
hsa:56413,3
hsa:7299,87
hsa:353091,87
hsa:22876,87
hsa:3190,50
cpd:C00305,3
hsa:8717,75
hsa:245711,5
hsa:1136,5
hsa:1019,58
hsa:5833,3
hsa:279,3
hsa:80328,81
hsa:1013,3
hsa:9027,62
hsa:64926,87
hsa:6885,41
hsa:7082,26
hsa:5777,9
hsa:2168,0
hsa:10971,76
hsa:6777,32
hsa:157506,70
hsa:3362,50
hsa:6323,50
hsa:3694,79
hsa:23408,66
hsa:3303,49
hsa:8968,77
hsa:36,13
hsa:407030,32
hsa:3352,12
hsa:1956,68
hsa:8677,66
hsa:160851,24
hsa:4886,90
hsa:356,83
hsa:10552,81
hsa:11040,64
hsa:100861540,87
hsa:4142,41
hsa:8802,87
hsa:9455,45
hsa:3560,67
hsa:90809,87
hsa:2778,3
hsa:4001,87
hsa:7010,81
hsa:5797,77
hsa:288,77
hsa:171558,87
hsa:6317,77
hsa:3684,36
hsa:100271849,76
path:hsa00603,54
hsa:6898,3
hsa:5232,76
hsa:6605,3
hsa:85365,86
hsa:8744,54
hsa:7386,77
path:hsa00250,38
hsa:22999,71
cpd:C05465,87
hsa:196403,44
hsa:1443,46
hsa:658,38
hsa:11311,27
hsa:5567,23
hsa:148,54
hsa:3106,87
hsa:11145,44
hsa:5175,87
hsa:7006,61
hsa:84869,39
hsa:1394,87
hsa:4780,5
hsa:5154,0
hsa:162417,84
hsa:4293,77
hsa:1437,52
hsa:27345,36
hsa:5209,71
hsa:5147,87
hsa:796,23
hsa:6489,20
hsa:6580,5
hsa:574467,77
hsa:84628,60
hsa:3569,77
hsa:2524,79
hsa:1139,76
hsa:4056,29
hsa:10758,86
hsa:6846,23
hsa:5860,53
hsa:596,29
hsa:3805,19
hsa:4586,36
hsa:1645,87
cpd:C00965,87
hsa:64786,86
hsa:5593,69
hsa:406888,75
hsa:5924,62
hsa:3579,54
hsa:50615,5
hsa:9927,87
hsa:51170,0
hsa:5724,5
hsa:10197,28
hsa:9966,87
hsa:6570,23
hsa:4607,77
hsa:29945,19
hsa:3562,27
hsa:414328,87
hsa:7249,5
hsa:56895,77
hsa:6599,23
hsa:2215,76
hsa:84790,90
hsa:643,77
hsa:16,83
hsa:545,83
hsa:6472,27
hsa:1991,15
hsa:113878,3
hsa:51701,54
hsa:55627,13
hsa:1282,87
hsa:654,27
hsa:80168,0
hsa:5529,30
hsa:207,52
hsa:886,5
hsa:604,87
hsa:2169,28
hsa:5720,50
hsa:5896,54
hsa:4329,82
hsa:145226,34
hsa:2887,72
hsa:6335,3
hsa:407047,87
hsa:641371,86
hsa:83547,45
hsa:9826,23
hsa:1311,77
hsa:6513,77
gl:G13105,5
cpd:C03259,1
cpd:C00416,16
hsa:113451,69
cpd:C05981,49
hsa:699,91
path:hsa00100,77
hsa:57118,29
hsa:23339,78
cpd:C00070,23
hsa:2869,77
hsa:5217,77
hsa:114548,86
hsa:26,5
hsa:166824,87
hsa:100526794,87
hsa:598,91
hsa:1845,23
hsa:100529261,50
hsa:81849,0
hsa:1589,5
hsa:4694,77
cpd:C14776,38
hsa:8354,30
hsa:8697,19
hsa:333932,44
hsa:3691,50
hsa:64064,87
hsa:2626,71
hsa:283459,66
hsa:83452,7
hsa:1676,10
hsa:54928,80
hsa:8787,3
cpd:C00410,29
hsa:64600,8
hsa:406910,68
hsa:407031,87
hsa:1081,87
hsa:7879,9
hsa:55102,5
hsa:51780,87
hsa:23786,77
hsa:9020,87
hsa:8289,89
hsa:1457,68
hsa:3822,5
hsa:11200,75
path:hsa00052,49
hsa:1789,19
cpd:C20640,67
hsa:3112,87
hsa:64283,63
hsa:2829,3
hsa:57007,54
hsa:6233,36
hsa:23308,28
cpd:C00238,78
hsa:406954,78
hsa:2549,87
hsa:926,45
hsa:2717,76
hsa:9266,29
hsa:9019,49
hsa:5347,31
dr:D08234,44
hsa:5327,49
hsa:57121,90
hsa:516,64
hsa:57104,53
cpd:C00745,87
hsa:4249,0
hsa:22925,77
hsa:10524,13
cpd:C20970,87
hsa:4800,27
hsa:2193,27
hsa:3133,1
hsa:84938,58
hsa:3274,87
hsa:3626,46
hsa:283208,47
hsa:7066,21
hsa:2069,71
hsa:7089,87
hsa:23708,48
hsa:9080,72
hsa:4646,72
hsa:10365,32
cpd:C02140,66
hsa:5871,71
hsa:9610,77
hsa:7048,77
hsa:23001,77
hsa:28227,24
hsa:6928,29
hsa:710,61
hsa:60,62
hsa:5292,61
hsa:51763,37
hsa:79799,86
hsa:9538,60
hsa:10170,61
hsa:5244,77
hsa:374654,26
hsa:1555,29
hsa:440,5
hsa:253260,87
hsa:5366,27
hsa:90993,54
hsa:50674,6
hsa:4698,29
hsa:4540,29
hsa:3155,5
hsa:3628,87
hsa:406947,64
hsa:8833,90
hsa:6372,77
cpd:C01327,77
hsa:22849,87
path:hsa00260,11
hsa:11253,49
hsa:253430,87
cpd:C05122,24
hsa:9630,81
hsa:26050,91
hsa:4718,91
hsa:406995,12
hsa:1278,91
hsa:23365,77
hsa:1232,29
hsa:3459,25
hsa:1154,66
hsa:7416,54
hsa:23646,31
hsa:1849,53
hsa:4541,37
hsa:3099,29
hsa:4099,8
hsa:3376,3
hsa:9839,59
hsa:942,73
hsa:8193,87
hsa:943,49
hsa:10398,3
hsa:574457,87
hsa:148789,45
hsa:79602,54
hsa:57863,77
hsa:5350,30
hsa:407010,68
hsa:2990,36
hsa:56985,76
hsa:2921,36
hsa:10399,5
hsa:29785,29
hsa:4952,87
hsa:4728,77
hsa:5721,77
hsa:3688,87
hsa:5663,30
hsa:7514,5
hsa:1636,3
hsa:3481,71
hsa:10062,71
hsa:1901,5
hsa:29929,5
cpd:C00388,3
hsa:3679,77
hsa:939,77
hsa:2161,3
hsa:3753,77
hsa:80326,71
cpd:C04483,65
hsa:896,26
hsa:113457,77
hsa:286151,87
hsa:11221,39
hsa:814,77
cpd:C22535,87
hsa:9023,23
hsa:3067,76
hsa:493869,49
hsa:7185,49
path:hsa00620,24
hsa:2810,33
hsa:80315,87
hsa:84735,44
hsa:6891,49
hsa:2903,86
hsa:3553,87
hsa:7849,77
hsa:9253,0
hsa:9985,91
hsa:79594,87
hsa:92359,71
hsa:5575,76
cpd:C15231,77
hsa:6812,89
hsa:100289462,89
hsa:9693,75
hsa:731,1
hsa:1235,77
hsa:83539,17
hsa:4914,86
hsa:406926,78
hsa:23446,70
hsa:4599,49
hsa:477,87
hsa:8326,87
hsa:6520,76
hsa:2569,9
hsa:2277,12
hsa:2920,75
hsa:57805,77
hsa:406981,27
hsa:1440,13
hsa:262,87
hsa:7332,81
hsa:3118,75
hsa:8784,67
hsa:23566,53
hsa:5819,1
hsa:4357,1
